17,15,C:\Users\86189\Desktop\jira\code-wisdom-jira\src\main\java\cn\edu\fudan\codewisdom\jira\service\impl\JiraServiceImpl.java,244,405,1040,1073,370,374
17,15,C:\Users\86189\Desktop\jira\code-wisdom-jira\src\main\java\cn\edu\fudan\codewisdom\jira\service\impl\JiraServiceImpl.java,244,405,1071,1104,374,377

18,15,C:\Users\86189\Desktop\jira\code-wisdom-jira\src\main\java\cn\edu\fudan\codewisdom\jira\service\impl\JiraServiceImpl.java,244,405,643,671,339,340
18,15,C:\Users\86189\Desktop\jira\code-wisdom-jira\src\main\java\cn\edu\fudan\codewisdom\jira\service\impl\JiraServiceImpl.java,244,405,681,709,341,343

19,10,C:\Users\86189\Desktop\jira\code-wisdom-jira\src\main\java\cn\edu\fudan\codewisdom\jira\domain\TeamJiraMeasure.java,16,37,7,80,18,32
19,8,C:\Users\86189\Desktop\jira\code-wisdom-jira\src\main\java\cn\edu\fudan\codewisdom\jira\domain\JiraMeasure.java,23,67,27,100,29,43

20,15,C:\Users\86189\Desktop\jira\code-wisdom-jira\src\main\java\cn\edu\fudan\codewisdom\jira\service\impl\JiraServiceImpl.java,244,405,100,146,255,264
20,15,C:\Users\86189\Desktop\jira\code-wisdom-jira\src\main\java\cn\edu\fudan\codewisdom\jira\service\impl\JiraServiceImpl.java,244,405,158,204,272,283

21,5,C:\Users\86189\Desktop\jira\code-wisdom-jira\src\main\java\cn\edu\fudan\codewisdom\jira\config\Swagger2.java,120,154,23,114,122,135
21,5,C:\Users\86189\Desktop\jira\code-wisdom-jira\src\main\java\cn\edu\fudan\codewisdom\jira\config\Swagger2.java,120,154,112,203,135,148

22,8,C:\Users\86189\Desktop\jira\code-wisdom-jira\src\main\java\cn\edu\fudan\codewisdom\jira\domain\JiraMeasure.java,23,67,38,67,30,40
22,15,C:\Users\86189\Desktop\jira\code-wisdom-jira\src\main\java\cn\edu\fudan\codewisdom\jira\service\impl\JiraServiceImpl.java,244,405,99,128,253,263

