 INFO [main] 2021-02-25 10:35:39,318 (CPUSnippetParser.java:36): ==========================================
 INFO [main] 2021-02-25 10:35:39,319 (CPUSnippetParser.java:37):                   parse                   
 INFO [main] 2021-02-25 10:35:39,320 (CPUSnippetParser.java:38): ==========================================
 INFO [main] 2021-02-25 10:35:39,327 (CPUSnippetParser.java:61): result group: 0
 INFO [main] 2021-02-25 10:35:40,996 (SagaShell.java:189): total time cost: 0h 0m 24s
 INFO [main] 2021-02-25 10:37:37,212 (SagaShell.java:119): process argument 'dataset=C:\Users\86189\Desktop\clone\IssueTracker-Master\clone-service\src\main\java\cn\edu\fudan\cloneservice'
 INFO [main] 2021-02-25 10:37:37,265 (SagaShell.java:119): process argument 'language=java'
 INFO [main] 2021-02-25 10:37:37,265 (SagaShell.java:119): process argument 'extensions=java'
 INFO [main] 2021-02-25 10:37:37,266 (SagaShell.java:119): process argument 'granularity=snippet'
 INFO [main] 2021-02-25 10:37:37,271 (SagaShell.java:119): process argument 'exe=executable/executable_cpu_win10_snippet.exe'
 INFO [main] 2021-02-25 10:37:37,271 (SagaShell.java:119): process argument 'threshold=0.7'
 INFO [main] 2021-02-25 10:37:37,285 (SagaShell.java:54): loading file list...
 INFO [main] 2021-02-25 10:37:37,290 (SagaShell.java:75): 0 files have been loaded
 INFO [main] 2021-02-25 10:37:37,290 (SagaShell.java:82): loading state...
 INFO [main] 2021-02-25 10:37:37,310 (Tokenizer.java:69): ==========================================
 INFO [main] 2021-02-25 10:37:37,310 (Tokenizer.java:70):                  tokenize                 
 INFO [main] 2021-02-25 10:37:37,311 (Tokenizer.java:71): ==========================================
 INFO [main] 2021-02-25 10:37:37,317 (Tokenizer.java:157): tokenIndexList: [-2147483647]
 INFO [main] 2021-02-25 10:37:37,318 (Tokenizer.java:159): total token num is: 0
 INFO [main] 2021-02-25 10:37:37,318 (Tokenizer.java:160): total measure num is: 0
 INFO [main] 2021-02-25 10:37:37,319 (Tokenizer.java:161): total line is: 0
 INFO [main] 2021-02-25 10:37:37,330 (SuffixArrayBuilder.java:23): ==========================================
 INFO [main] 2021-02-25 10:37:37,330 (SuffixArrayBuilder.java:24):                   build                   
 INFO [main] 2021-02-25 10:37:37,330 (SuffixArrayBuilder.java:25): ==========================================
 INFO [main] 2021-02-25 10:37:37,346 (CPUSnippetParser.java:36): ==========================================
 INFO [main] 2021-02-25 10:37:37,346 (CPUSnippetParser.java:37):                   parse                   
 INFO [main] 2021-02-25 10:37:37,347 (CPUSnippetParser.java:38): ==========================================
 INFO [main] 2021-02-25 10:37:37,351 (CPUSnippetParser.java:61): result group: 0
 INFO [main] 2021-02-25 10:37:37,352 (SagaShell.java:189): total time cost: 0h 0m 0s
 INFO [main] 2021-02-25 10:37:49,697 (SagaShell.java:119): process argument 'dataset=C:\Users\86189\Desktop\clone\IssueTracker-Master\clone-service\src\main\java\cn\edu\fudan\cloneservice'
 INFO [main] 2021-02-25 10:37:49,753 (SagaShell.java:119): process argument 'language=java'
 INFO [main] 2021-02-25 10:37:49,754 (SagaShell.java:119): process argument 'extensions=java'
 INFO [main] 2021-02-25 10:37:49,754 (SagaShell.java:119): process argument 'granularity=snippet'
 INFO [main] 2021-02-25 10:37:49,758 (SagaShell.java:119): process argument 'exe=executable/executable_cpu_win10_snippet.exe'
 INFO [main] 2021-02-25 10:37:49,759 (SagaShell.java:119): process argument 'threshold=0.7'
 INFO [main] 2021-02-25 10:37:53,552 (SagaShell.java:54): loading file list...
 INFO [main] 2021-02-25 10:37:53,559 (SagaShell.java:75): 0 files have been loaded
 INFO [main] 2021-02-25 10:37:54,008 (SagaShell.java:82): loading state...
 INFO [main] 2021-02-25 10:39:35,860 (Tokenizer.java:69): ==========================================
 INFO [main] 2021-02-25 10:39:35,860 (Tokenizer.java:70):                  tokenize                 
 INFO [main] 2021-02-25 10:39:35,860 (Tokenizer.java:71): ==========================================
 INFO [main] 2021-02-25 10:39:35,866 (Tokenizer.java:157): tokenIndexList: [-2147483647]
 INFO [main] 2021-02-25 10:39:35,866 (Tokenizer.java:159): total token num is: 0
 INFO [main] 2021-02-25 10:39:35,866 (Tokenizer.java:160): total measure num is: 0
 INFO [main] 2021-02-25 10:39:35,866 (Tokenizer.java:161): total line is: 0
 INFO [main] 2021-02-25 10:39:35,871 (SuffixArrayBuilder.java:23): ==========================================
 INFO [main] 2021-02-25 10:39:35,872 (SuffixArrayBuilder.java:24):                   build                   
 INFO [main] 2021-02-25 10:39:35,872 (SuffixArrayBuilder.java:25): ==========================================
 INFO [main] 2021-02-25 10:39:35,884 (CPUSnippetParser.java:36): ==========================================
 INFO [main] 2021-02-25 10:39:35,884 (CPUSnippetParser.java:37):                   parse                   
 INFO [main] 2021-02-25 10:39:35,884 (CPUSnippetParser.java:38): ==========================================
 INFO [main] 2021-02-25 10:39:35,887 (CPUSnippetParser.java:61): result group: 0
 INFO [main] 2021-02-25 10:39:35,887 (SagaShell.java:189): total time cost: 0h 1m 44s
 INFO [main] 2021-02-25 10:39:45,665 (SagaShell.java:119): process argument 'dataset=C:\Users\86189\Desktop\jira'
 INFO [main] 2021-02-25 10:39:45,726 (SagaShell.java:119): process argument 'language=java'
 INFO [main] 2021-02-25 10:39:45,728 (SagaShell.java:119): process argument 'extensions=java'
 INFO [main] 2021-02-25 10:39:45,728 (SagaShell.java:119): process argument 'granularity=snippet'
 INFO [main] 2021-02-25 10:39:45,733 (SagaShell.java:119): process argument 'exe=executable/executable_cpu_win10_snippet.exe'
 INFO [main] 2021-02-25 10:39:45,734 (SagaShell.java:119): process argument 'threshold=0.7'
 INFO [main] 2021-02-25 10:39:47,264 (SagaShell.java:54): loading file list...
 INFO [main] 2021-02-25 10:39:47,270 (SagaShell.java:75): 0 files have been loaded
 INFO [main] 2021-02-25 10:39:49,024 (SagaShell.java:82): loading state...
 INFO [main] 2021-02-25 10:39:51,585 (Tokenizer.java:69): ==========================================
 INFO [main] 2021-02-25 10:39:51,585 (Tokenizer.java:70):                  tokenize                 
 INFO [main] 2021-02-25 10:39:51,586 (Tokenizer.java:71): ==========================================
